n,r,m
(:Species {name: '金鲳鱼'}),[:具有],(:EntityType {label: '养殖方式'})
(:Species {name: '金鲳鱼'}),[:具有],(:EntityType {label: '分布区域'})
(:Species {name: '金鲳鱼'}),[:具有],(:EntityType {label: '常见疾病'})
(:Species {name: '金鲳鱼'}),[:具有],(:EntityType {label: '栖息环境'})
(:Species {name: '金鲳鱼'}),[:具有],(:EntityType {label: '生物学特征'})
(:Species {name: '金鲳鱼'}),[:具有],(:EntityType {label: '生长气候'})
(:Species {name: '金鲳鱼'}),[:具有],(:EntityType {label: '研究目标名称'})
(:Species {name: '金鲳鱼'}),[:具有],(:EntityType {label: '饮食习性'})
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '海水养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '人工饲养', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '网箱养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '人工养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '声乐养殖方式', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '土池养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '声乐引育繁推', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '声乐养殖法', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '声波技术', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '声乐养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '网箱饲养', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '深水网箱', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '深远海养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '卷积生产养殖模式', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '卷积式生产模式', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '工业化卷积生产模式', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '深远海生态性养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '深水抗风浪网箱养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '工厂化循环水养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '开放式循环水养殖', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '工业化卷积生产', label: '养殖方式'})"
(:EntityType {label: '养殖方式'}),[:具有],"(:Entity {name: '卷积式生产模式养殖', label: '养殖方式'})"
